"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2021","27,600.0","27,200.0","27,640.0","27,200.0","7.06M","1.77%"
"30/12/2021","27,120.0","26,960.0","27,200.0","26,800.0","2.27M","0.30%"
"29/12/2021","27,040.0","27,080.0","27,360.0","26,960.0","4.77M","0.45%"
"28/12/2021","26,920.0","26,520.0","27,000.0","26,440.0","4.35M","1.51%"
"27/12/2021","26,520.0","26,640.0","26,640.0","26,320.0","3.07M","0.45%"
"24/12/2021","26,400.0","26,000.0","26,520.0","25,760.0","5.47M","1.54%"
"23/12/2021","26,000.0","26,080.0","26,120.0","25,600.0","5.17M","-0.61%"
"22/12/2021","26,160.0","26,120.0","26,360.0","26,120.0","4.23M","-0.30%"
"21/12/2021","26,240.0","26,360.0","26,360.0","26,240.0","3.03M","-0.91%"
"20/12/2021","26,480.0","26,560.0","26,640.0","26,280.0","4.12M","-0.30%"
"17/12/2021","26,560.0","26,520.0","26,640.0","26,440.0","3.00M","0.61%"
"16/12/2021","26,400.0","26,800.0","26,840.0","26,400.0","2.88M","-1.20%"
"15/12/2021","26,720.0","26,480.0","26,840.0","26,440.0","2.65M","0.30%"
"14/12/2021","26,640.0","26,640.0","26,800.0","26,480.0","2.66M","-0.30%"
"13/12/2021","26,720.0","26,840.0","27,040.0","26,640.0","3.77M","0.00%"
"10/12/2021","26,720.0","26,560.0","26,880.0","26,480.0","5.91M","0.30%"
"09/12/2021","26,640.0","26,400.0","26,640.0","26,240.0","2.70M","0.60%"
"08/12/2021","26,480.0","26,120.0","26,720.0","26,040.0","3.63M","0.46%"
"07/12/2021","26,360.0","26,000.0","26,360.0","25,680.0","3.53M","2.01%"
"06/12/2021","25,840.0","25,840.0","26,240.0","25,320.0","8.12M","-0.77%"
"03/12/2021","26,040.0","26,720.0","26,840.0","26,040.0","6.15M","-1.96%"
"02/12/2021","26,560.0","26,880.0","26,880.0","26,560.0","3.31M","-0.90%"
"01/12/2021","26,800.0","26,480.0","26,800.0","26,440.0","4.53M","0.60%"
"30/11/2021","26,640.0","27,520.0","27,600.0","26,560.0","7.68M","-2.49%"
"29/11/2021","27,320.0","27,040.0","27,440.0","27,040.0","7.62M","-1.30%"
"26/11/2021","27,680.0","28,120.0","28,240.0","27,680.0","7.76M","-1.56%"
"25/11/2021","28,120.0","28,400.0","28,440.0","27,960.0","8.85M","-0.57%"
"24/11/2021","28,280.0","27,120.0","28,360.0","27,000.0","17.87M","4.12%"
"23/11/2021","27,160.0","27,400.0","27,440.0","26,960.0","4.80M","-0.59%"
"22/11/2021","27,320.0","26,800.0","27,840.0","26,400.0","11.44M","2.09%"
"19/11/2021","26,760.0","26,160.0","27,120.0","26,040.0","12.24M","2.92%"
"18/11/2021","26,000.0","26,800.0","26,800.0","26,000.0","6.87M","-2.40%"
"17/11/2021","26,640.0","26,520.0","26,800.0","26,240.0","5.45M","0.45%"
"16/11/2021","26,520.0","26,680.0","26,720.0","26,240.0","6.51M","-0.75%"
"15/11/2021","26,720.0","26,720.0","26,880.0","26,600.0","6.10M","0.15%"
"12/11/2021","26,680.0","26,400.0","26,680.0","26,120.0","5.47M","1.06%"
"11/11/2021","26,400.0","26,640.0","26,840.0","26,000.0","8.91M","-1.20%"
"10/11/2021","26,720.0","26,800.0","26,840.0","26,520.0","5.46M","-0.15%"
"09/11/2021","26,760.0","26,720.0","27,040.0","26,680.0","6.31M","0.15%"
"08/11/2021","26,720.0","26,800.0","26,920.0","26,560.0","6.73M","-0.30%"
"05/11/2021","26,800.0","27,040.0","27,040.0","26,640.0","4.96M","0.00%"
"04/11/2021","26,800.0","27,240.0","27,240.0","26,760.0","5.25M","-1.03%"
"03/11/2021","27,080.0","26,640.0","27,280.0","26,600.0","16.33M","2.11%"
"02/11/2021","26,520.0","26,160.0","26,520.0","26,040.0","8.76M","1.38%"
"01/11/2021","26,160.0","26,240.0","26,320.0","25,920.0","6.62M","-0.91%"
"29/10/2021","26,400.0","25,480.0","26,400.0","25,400.0","17.00M","3.61%"
"28/10/2021","25,480.0","25,320.0","25,480.0","25,200.0","5.81M","1.43%"
"27/10/2021","25,120.0","24,920.0","25,440.0","24,920.0","7.29M","0.96%"
"26/10/2021","24,880.0","25,000.0","25,000.0","24,640.0","6.57M","-0.48%"
"25/10/2021","25,000.0","25,360.0","25,360.0","24,880.0","6.50M","-1.11%"
"22/10/2021","25,280.0","25,520.0","25,560.0","25,160.0","4.78M","-0.47%"
"21/10/2021","25,400.0","25,840.0","25,840.0","25,400.0","5.17M","-1.70%"
"20/10/2021","25,840.0","25,840.0","26,120.0","25,440.0","4.81M","0.00%"
"19/10/2021","25,840.0","25,920.0","25,920.0","25,520.0","4.52M","0.94%"
"18/10/2021","25,600.0","25,880.0","26,080.0","25,600.0","5.68M","-0.62%"
"15/10/2021","25,760.0","26,000.0","26,040.0","25,680.0","3.72M","-0.31%"
"14/10/2021","25,840.0","26,080.0","26,160.0","25,760.0","5.65M","-0.92%"
"13/10/2021","26,080.0","26,080.0","26,320.0","26,000.0","4.64M","0.00%"
"12/10/2021","26,080.0","26,320.0","26,320.0","25,920.0","4.23M","0.00%"
"11/10/2021","26,080.0","25,280.0","26,080.0","25,280.0","8.36M","3.66%"
"08/10/2021","25,160.0","25,120.0","25,240.0","25,000.0","4.35M","0.80%"
"07/10/2021","24,960.0","25,200.0","25,200.0","24,960.0","2.70M","-0.48%"
"06/10/2021","25,080.0","25,240.0","25,320.0","24,880.0","4.15M","-0.48%"
"05/10/2021","25,200.0","24,800.0","25,200.0","24,800.0","3.64M","1.61%"
"04/10/2021","24,800.0","25,040.0","25,120.0","24,480.0","7.07M","-1.59%"
"01/10/2021","25,200.0","25,200.0","25,240.0","24,880.0","8.05M","-0.16%"
"30/09/2021","25,240.0","25,080.0","25,280.0","25,040.0","5.49M","0.64%"
"29/09/2021","25,080.0","25,280.0","25,360.0","24,920.0","4.52M","-0.79%"
"28/09/2021","25,280.0","25,200.0","25,400.0","25,120.0","3.15M","0.32%"
"27/09/2021","25,200.0","25,760.0","25,920.0","25,200.0","6.00M","-1.56%"
"24/09/2021","25,600.0","25,440.0","25,720.0","25,280.0","8.36M","1.27%"
"23/09/2021","25,280.0","25,360.0","25,440.0","25,200.0","5.26M","0.00%"
"22/09/2021","25,280.0","25,440.0","25,600.0","25,280.0","3.35M","-0.63%"
"21/09/2021","25,440.0","25,440.0","25,600.0","25,160.0","4.85M","-0.93%"
"20/09/2021","25,680.0","25,600.0","25,840.0","25,480.0","7.98M","1.58%"
"17/09/2021","25,280.0","25,280.0","25,440.0","25,080.0","5.72M","0.96%"
"16/09/2021","25,040.0","25,000.0","25,240.0","24,960.0","4.32M","0.32%"
"15/09/2021","24,960.0","25,200.0","25,200.0","24,920.0","6.22M","-0.95%"
"14/09/2021","25,200.0","25,480.0","25,600.0","25,200.0","5.64M","-1.25%"
"13/09/2021","25,520.0","25,840.0","25,840.0","25,520.0","6.50M","-1.24%"
"10/09/2021","25,840.0","26,000.0","26,040.0","25,800.0","5.13M","-0.46%"
"09/09/2021","25,960.0","25,600.0","25,960.0","25,560.0","4.29M","0.93%"
"08/09/2021","25,720.0","26,000.0","26,200.0","25,680.0","5.94M","-1.08%"
"07/09/2021","26,000.0","25,920.0","26,200.0","25,760.0","9.95M","1.40%"
"06/09/2021","25,640.0","25,760.0","25,840.0","25,560.0","9.23M","0.16%"
"01/09/2021","25,600.0","25,600.0","26,200.0","25,560.0","10.89M","0.00%"
"31/08/2021","25,600.0","26,000.0","26,080.0","25,600.0","6.91M","-0.47%"
"30/08/2021","25,720.0","25,440.0","25,920.0","25,280.0","10.04M","1.26%"
"27/08/2021","25,400.0","25,360.0","25,480.0","24,640.0","10.09M","-0.63%"
"26/08/2021","25,560.0","26,040.0","26,080.0","25,440.0","6.18M","-1.54%"
"25/08/2021","25,960.0","25,760.0","26,000.0","25,520.0","6.08M","0.46%"
"24/08/2021","25,840.0","25,600.0","26,000.0","25,360.0","11.36M","0.94%"
"23/08/2021","25,600.0","26,800.0","26,880.0","25,600.0","19.50M","-4.76%"
"20/08/2021","26,880.0","28,240.0","28,280.0","26,440.0","26.19M","-4.82%"
"19/08/2021","28,240.0","28,400.0","28,440.0","27,960.0","11.71M","-0.70%"
"18/08/2021","28,440.0","28,360.0","28,640.0","28,240.0","8.87M","-0.14%"
"17/08/2021","28,480.0","28,800.0","28,960.0","28,320.0","10.93M","-0.28%"
"16/08/2021","28,560.0","28,280.0","28,800.0","27,840.0","15.07M","0.99%"
"13/08/2021","28,280.0","28,160.0","28,360.0","27,440.0","18.91M","0.14%"
"12/08/2021","28,240.0","28,640.0","28,800.0","28,240.0","15.18M","-1.94%"
"11/08/2021","28,800.0","29,200.0","29,400.0","28,800.0","20.62M","-1.37%"
"10/08/2021","29,200.0","29,440.0","29,480.0","28,960.0","13.07M","0.00%"
"09/08/2021","29,200.0","28,320.0","29,480.0","28,120.0","24.05M","2.67%"
"06/08/2021","28,440.0","28,880.0","28,920.0","28,360.0","10.78M","-1.25%"
"05/08/2021","28,800.0","28,280.0","28,880.0","28,240.0","17.23M","1.41%"
"04/08/2021","28,400.0","28,800.0","28,800.0","28,240.0","10.58M","-0.84%"
"03/08/2021","28,640.0","28,360.0","28,640.0","28,000.0","10.96M","0.70%"
"02/08/2021","28,440.0","28,400.0","28,800.0","28,280.0","10.81M","-1.66%"
"30/07/2021","28,920.0","27,440.0","28,920.0","27,440.0","43.95M","5.86%"
"29/07/2021","27,320.0","26,760.0","27,360.0","26,640.0","9.55M","3.02%"
