"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","37,100.0","35,600.0","37,700.0","35,500.0","4.86M","4.80%"
"12/30/2021","35,400.0","35,400.0","35,700.0","35,200.0","987.00K","0.57%"
"12/29/2021","35,200.0","35,550.0","35,550.0","35,100.0","1.58M","0.00%"
"12/28/2021","35,200.0","35,500.0","35,500.0","34,900.0","1.36M","-0.28%"
"12/27/2021","35,300.0","35,200.0","35,500.0","35,000.0","1.20M","0.86%"
"12/24/2021","35,000.0","34,500.0","35,400.0","34,500.0","1.53M","1.45%"
"12/23/2021","34,500.0","34,800.0","34,900.0","33,700.0","2.32M","0.67%"
"12/22/2021","34,268.9","34,822.9","35,020.8","33,991.9","3.56M","-1.14%"
"12/21/2021","34,664.6","35,218.6","35,337.3","34,664.6","3.51M","-1.79%"
"12/20/2021","35,297.8","35,456.0","35,574.8","35,218.6","1.55M","-0.67%"
"12/17/2021","35,535.2","35,535.2","36,010.0","34,902.0","2.33M","0.00%"
"12/16/2021","35,535.2","35,614.3","35,614.3","34,822.9","2.11M","0.00%"
"12/15/2021","35,535.2","35,772.6","36,010.0","35,416.5","1.79M","-0.88%"
"12/14/2021","35,851.8","36,168.3","36,168.3","35,772.6","2.15M","-0.44%"
"12/13/2021","36,010.0","36,010.0","36,247.5","35,693.5","3.12M","2.02%"
"12/10/2021","35,297.8","35,060.3","35,772.6","35,060.3","2.60M","1.36%"
"12/09/2021","34,822.9","34,783.3","34,941.6","34,466.8","1.23M","0.00%"
"12/08/2021","34,822.9","34,585.5","35,060.3","34,387.6","1.44M","0.92%"
"12/07/2021","34,506.3","33,279.6","34,625.0","33,279.6","2.08M","3.93%"
"12/06/2021","33,200.5","34,031.5","34,031.5","32,963.0","3.59M","-0.12%"
"12/03/2021","33,240.0","35,218.6","35,218.6","33,240.0","2.77M","-4.98%"
"12/02/2021","34,981.2","35,020.8","35,930.9","34,822.9","1.72M","-0.23%"
"12/01/2021","35,060.3","35,139.5","35,376.9","34,585.5","2.21M","-0.23%"
"11/30/2021","35,139.5","35,535.2","36,128.8","34,506.3","3.20M","-0.22%"
"11/29/2021","35,218.6","35,218.6","35,614.3","34,902.0","4.10M","-2.09%"
"11/26/2021","35,970.5","36,484.9","36,564.0","34,822.9","5.20M","0.22%"
"11/25/2021","35,891.3","36,722.3","36,722.3","35,851.8","3.38M","-1.52%"
"11/24/2021","36,445.3","35,574.8","36,484.9","35,297.8","5.19M","3.02%"
"11/23/2021","35,376.9","36,010.0","36,010.0","34,981.2","2.26M","-1.87%"
"11/22/2021","36,049.6","35,139.5","36,564.0","34,822.9","6.22M","2.59%"
"11/19/2021","35,139.5","35,258.2","36,445.3","33,240.0","5.10M","-0.22%"
"11/18/2021","35,218.6","34,822.9","35,535.2","34,348.0","4.42M","2.06%"
"11/17/2021","34,506.3","33,754.5","34,664.6","33,596.2","3.07M","1.87%"
"11/16/2021","33,873.2","33,794.0","34,110.6","33,596.2","1.59M","0.00%"
"11/15/2021","33,873.2","34,308.5","34,427.2","33,240.0","1.92M","-0.93%"
"11/12/2021","34,189.8","33,517.0","34,268.9","33,517.0","2.36M","0.93%"
"11/11/2021","33,873.2","34,348.0","34,427.2","33,398.3","3.07M","-0.47%"
"11/10/2021","34,031.5","34,110.6","34,427.2","33,517.0","2.69M","0.00%"
"11/09/2021","34,031.5","34,822.9","34,941.6","34,031.5","3.20M","-2.05%"
"11/08/2021","34,743.8","34,506.3","35,139.5","34,150.2","3.38M","0.69%"
"11/05/2021","34,506.3","34,822.9","35,139.5","34,229.3","2.44M","-0.91%"
"11/04/2021","34,822.9","34,150.2","35,020.8","33,794.0","5.51M","2.21%"
"11/03/2021","34,071.0","33,477.5","34,902.0","33,240.0","7.05M","2.62%"
"11/02/2021","33,200.5","33,081.7","33,635.8","32,923.5","1.92M","0.36%"
"11/01/2021","33,081.7","33,240.0","33,319.2","32,923.5","4.14M","0.72%"
"10/29/2021","32,844.3","31,657.2","33,002.6","31,578.0","4.69M","4.14%"
"10/28/2021","31,538.5","31,657.2","31,815.5","31,419.7","1.56M","-0.13%"
"10/27/2021","31,578.0","31,063.6","31,617.6","31,063.6","1.78M","1.79%"
"10/26/2021","31,024.0","31,024.0","31,182.3","30,984.5","688.20K","0.00%"
"10/25/2021","31,024.0","31,340.6","31,340.6","31,024.0","1.12M","-0.25%"
"10/22/2021","31,103.2","31,261.5","31,419.7","31,103.2","1.33M","-0.51%"
"10/21/2021","31,261.5","31,459.3","31,578.0","31,261.5","795.10K","-0.63%"
"10/20/2021","31,459.3","31,696.7","31,815.5","31,103.2","1.36M","-0.75%"
"10/19/2021","31,696.7","31,103.2","32,092.5","30,865.7","2.78M","1.91%"
"10/18/2021","31,103.2","31,261.5","31,696.7","30,865.7","2.26M","-0.51%"
"10/15/2021","31,261.5","31,301.0","31,538.5","31,261.5","1.39M","-0.13%"
"10/14/2021","31,301.0","31,578.0","31,617.6","31,301.0","1.33M","-0.88%"
"10/13/2021","31,578.0","31,894.6","32,013.3","31,340.6","1.79M","-0.87%"
"10/12/2021","31,855.0","31,815.5","32,250.7","31,696.7","2.50M","0.62%"
"10/11/2021","31,657.2","31,340.6","31,657.2","31,182.3","2.21M","2.04%"
"10/08/2021","31,024.0","30,984.5","31,182.3","30,984.5","1.23M","0.13%"
"10/07/2021","30,984.5","31,182.3","31,261.5","30,984.5","1.28M","-0.63%"
"10/06/2021","31,182.3","31,261.5","31,657.2","31,103.2","1.02M","0.25%"
"10/05/2021","31,103.2","30,865.7","31,301.0","30,865.7","918.20K","1.03%"
"10/04/2021","30,786.6","30,747.0","31,340.6","30,470.0","1.33M","0.26%"
