"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","56,000.0","55,200.0","56,200.0","55,200.0","815.80K","1.63%"
"12/30/2021","55,100.0","55,400.0","55,600.0","55,000.0","675.80K","-0.18%"
"12/29/2021","55,200.0","55,800.0","55,900.0","55,000.0","830.90K","-0.90%"
"12/28/2021","55,700.0","56,000.0","56,100.0","55,500.0","663.00K","-0.71%"
"12/27/2021","56,100.0","56,500.0","56,600.0","55,500.0","557.00K","0.18%"
"12/24/2021","56,000.0","55,200.0","56,200.0","54,700.0","898.70K","2.00%"
"12/23/2021","54,900.0","56,500.0","56,700.0","54,900.0","1.20M","-2.83%"
"12/22/2021","56,500.0","57,000.0","57,600.0","56,100.0","884.60K","-0.88%"
"12/21/2021","57,000.0","56,300.0","57,600.0","55,900.0","1.42M","0.71%"
"12/20/2021","56,600.0","57,800.0","58,100.0","56,000.0","1.11M","-1.74%"
"12/17/2021","57,600.0","58,000.0","58,500.0","57,500.0","739.30K","-0.69%"
"12/16/2021","58,000.0","59,000.0","59,000.0","57,900.0","413.60K","-0.34%"
"12/15/2021","58,200.0","58,500.0","58,600.0","57,500.0","630.00K","-0.51%"
"12/14/2021","58,500.0","59,000.0","59,000.0","58,000.0","562.10K","-1.18%"
"12/13/2021","59,200.0","59,200.0","59,700.0","58,600.0","655.50K","0.68%"
"12/10/2021","58,800.0","58,000.0","59,300.0","57,900.0","639.50K","1.73%"
"12/09/2021","57,800.0","57,700.0","58,100.0","57,300.0","741.80K","0.17%"
"12/08/2021","57,700.0","58,400.0","58,600.0","57,600.0","581.50K","-1.20%"
"12/07/2021","58,400.0","57,800.0","58,500.0","57,500.0","665.90K","1.57%"
"12/06/2021","57,500.0","57,800.0","58,400.0","55,300.0","1.62M","-0.52%"
"12/03/2021","57,800.0","61,100.0","61,100.0","57,800.0","1.68M","-4.62%"
"12/02/2021","60,600.0","61,100.0","61,500.0","60,600.0","611.30K","-0.82%"
"12/01/2021","61,100.0","61,200.0","61,500.0","60,200.0","1.26M","0.16%"
"11/30/2021","61,000.0","62,400.0","62,800.0","60,500.0","1.35M","-1.61%"
"11/29/2021","62,000.0","61,300.0","62,800.0","61,000.0","938.20K","-0.32%"
