"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2021","93,646.0","94,814.0","94,814.0","93,549.0","674.80K","-0.82%"
"30/12/2021","94,425.0","95,398.0","95,788.0","94,425.0","580.60K","0.00%"
"29/12/2021","94,425.0","96,177.0","96,177.0","94,230.0","458.10K","-1.12%"
"28/12/2021","95,496.0","94,425.0","95,885.0","94,425.0","1.09M","2.29%"
"27/12/2021","93,354.0","93,159.0","94,230.0","93,159.0","328.90K","0.21%"
"24/12/2021","93,159.0","93,743.0","94,425.0","92,770.0","700.00K","0.52%"
"23/12/2021","92,673.0","93,451.0","95,106.0","91,991.0","1.52M","0.00%"
"22/12/2021","92,673.0","93,354.0","94,035.0","92,088.0","592.00K","1.28%"
"21/12/2021","91,504.0","94,133.0","94,327.0","91,504.0","1.26M","-2.79%"
"20/12/2021","94,133.0","95,398.0","95,398.0","93,451.0","860.70K","-2.32%"
"17/12/2021","96,372.0","96,469.0","97,345.0","95,204.0","531.80K","0.41%"
"16/12/2021","95,982.0","95,398.0","97,442.0","94,522.0","956.60K","0.92%"
"15/12/2021","95,106.0","95,009.0","95,593.0","93,841.0","473.40K","-0.51%"
"14/12/2021","95,593.0","95,301.0","96,274.0","93,938.0","765.00K","0.20%"
"13/12/2021","95,398.0","95,398.0","96,664.0","94,619.0","720.80K","1.45%"
"10/12/2021","94,035.0","95,788.0","95,788.0","93,646.0","677.40K","-2.13%"
"09/12/2021","96,080.0","95,301.0","97,345.0","94,425.0","560.30K","0.51%"
"08/12/2021","95,593.0","94,911.0","96,664.0","94,230.0","1.10M","1.76%"
"07/12/2021","93,938.0","91,991.0","93,938.0","91,018.0","964.00K","4.89%"
"06/12/2021","89,557.0","93,743.0","94,425.0","88,584.0","1.23M","-4.76%"
"03/12/2021","94,035.0","96,469.0","96,469.0","94,035.0","1.03M","-1.83%"
"02/12/2021","95,788.0","95,788.0","96,858.0","95,398.0","591.10K","-0.10%"
"01/12/2021","95,885.0","95,009.0","96,858.0","94,911.0","1.46M","0.20%"
"30/11/2021","95,690.0","97,442.0","99,000.0","95,690.0","1.39M","-1.11%"
"29/11/2021","96,761.0","95,009.0","98,416.0","95,009.0","1.29M","-2.55%"
"26/11/2021","99,292.0","101,142.0","101,239.0","98,903.0","1.26M","-1.83%"
"25/11/2021","101,142.0","100,850.0","102,310.0","100,071.0","657.70K","0.87%"
"24/11/2021","100,265.0","103,867.0","104,062.0","100,265.0","922.70K","-1.53%"
"23/11/2021","101,823.0","99,779.0","102,699.0","99,779.0","768.40K","2.45%"
"22/11/2021","99,389.0","101,239.0","103,478.0","98,903.0","1.44M","-3.68%"
"19/11/2021","103,186.0","110,779.0","110,973.0","103,088.0","2.91M","-6.85%"
"18/11/2021","110,779.0","112,920.0","113,894.0","110,779.0","1.28M","-3.07%"
"17/11/2021","114,283.0","113,894.0","115,549.0","113,699.0","701.20K","0.60%"
"16/11/2021","113,602.0","114,867.0","117,009.0","113,212.0","1.55M","-1.85%"
"15/11/2021","115,743.0","115,841.0","116,717.0","111,655.0","2.16M","0.68%"
"12/11/2021","114,965.0","116,035.0","117,690.0","113,310.0","1.37M","-0.76%"
"11/11/2021","115,841.0","116,814.0","118,761.0","114,283.0","1.90M","-1.16%"
"10/11/2021","117,204.0","116,911.0","119,442.0","115,841.0","1.01M","1.01%"
"09/11/2021","116,035.0","117,593.0","120,708.0","115,841.0","1.67M","-3.09%"
"08/11/2021","119,734.0","120,513.0","120,611.0","116,035.0","1.65M","0.49%"
"05/11/2021","119,150.0","114,867.0","120,319.0","113,212.0","1.34M","4.53%"
"04/11/2021","113,991.0","114,965.0","118,761.0","113,894.0","1.66M","-2.42%"
"03/11/2021","116,814.0","118,372.0","119,637.0","115,354.0","1.89M","-1.32%"
"02/11/2021","118,372.0","119,637.0","119,637.0","117,106.0","1.51M","0.25%"
"01/11/2021","118,080.0","121,292.0","123,628.0","117,788.0","2.08M","-2.57%"
"29/10/2021","121,195.0","120,708.0","124,115.0","118,274.0","1.16M","-0.40%"
"28/10/2021","121,681.0","118,274.0","124,991.0","116,133.0","2.34M","2.71%"
"27/10/2021","118,469.0","112,142.0","118,469.0","111,655.0","4.18M","6.94%"
"26/10/2021","110,779.0","110,000.0","112,044.0","109,416.0","2.37M","1.61%"
"25/10/2021","109,027.0","110,000.0","112,142.0","108,734.0","2.12M","-0.09%"
"22/10/2021","109,124.0","109,416.0","110,876.0","107,761.0","1.28M","-0.09%"
"21/10/2021","109,221.0","111,947.0","112,336.0","109,027.0","1.64M","-2.01%"
"20/10/2021","111,460.0","112,336.0","112,336.0","107,566.0","1.71M","0.00%"
"19/10/2021","111,460.0","112,920.0","114,380.0","110,973.0","1.07M","-1.72%"
"18/10/2021","113,407.0","109,513.0","115,938.0","109,319.0","3.11M","4.02%"
"15/10/2021","109,027.0","109,027.0","110,000.0","108,540.0","1.10M","0.63%"
"14/10/2021","108,345.0","107,761.0","111,460.0","107,761.0","3.00M","0.27%"
"13/10/2021","108,053.0","109,513.0","109,513.0","107,080.0","1.79M","-0.89%"
"12/10/2021","109,027.0","108,832.0","111,460.0","107,664.0","1.95M","-0.44%"
