"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","35,988","36,232","36,426","35,891","2.17M","-0.14%"
"12/30/2021","36,037","35,939","36,475","35,891","2.38M","0.27%"
"12/29/2021","35,939","36,621","36,913","35,842","6.19M","-2.51%"
"12/28/2021","36,865","37,595","37,985","36,719","4.19M","-1.94%"
"12/27/2021","37,595","37,887","38,180","37,108","2.79M","-1.15%"
"12/24/2021","38,034","38,082","39,202","37,790","3.95M","0.13%"
"12/23/2021","37,985","38,326","38,764","37,449","4.28M","0.00%"
"12/22/2021","37,985","36,913","38,910","36,719","7.89M","3.45%"
"12/21/2021","36,719","36,524","37,303","36,134","2.77M","0.27%"
"12/20/2021","36,621","37,206","37,254","36,475","2.39M","-1.70%"
"12/17/2021","37,254","37,011","37,985","36,913","2.96M","1.06%"
"12/16/2021","36,865","37,011","37,400","36,719","1.84M","0.26%"
"12/15/2021","36,767","37,011","37,839","36,670","2.61M","-1.05%"
"12/14/2021","37,157","37,498","38,033","36,524","2.70M","-0.91%"
"12/13/2021","37,498","37,011","37,887","36,621","2.82M","2.67%"
"12/10/2021","36,524","36,329","37,011","36,329","2.20M","0.40%"
"12/09/2021","36,378","36,037","36,767","35,745","1.61M","0.95%"
"12/08/2021","36,037","35,988","37,303","35,696","1.84M","1.09%"
"12/07/2021","35,647","35,550","36,037","35,209","1.45M","1.67%"
"12/06/2021","35,063","35,550","36,232","34,332","2.69M","-1.37%"
"12/03/2021","35,550","37,352","37,985","35,550","3.25M","-5.56%"
"12/02/2021","37,644","37,108","38,764","37,060","2.67M","0.39%"
"12/01/2021","37,498","37,595","37,985","37,011","1.97M","-0.77%"
"11/30/2021","37,790","36,329","38,326","36,329","7.46M","5.43%"
"11/29/2021","35,842","35,063","36,037","34,966","2.72M","-0.41%"
"11/26/2021","35,988","36,913","37,011","35,745","3.37M","-2.25%"
"11/25/2021","36,816","36,524","37,498","36,426","2.64M","1.61%"
"11/24/2021","36,232","36,572","36,962","36,037","2.88M","-0.80%"
"11/23/2021","36,524","34,284","36,524","34,284","2.45M","5.34%"
"11/22/2021","34,673","36,086","36,719","34,673","5.21M","-5.57%"
"11/19/2021","36,719","38,861","39,056","36,134","6.32M","-5.40%"
"11/18/2021","38,813","38,764","39,592","38,667","4.02M","-0.38%"
"11/17/2021","38,959","38,326","39,835","37,985","3.34M","1.65%"
"11/16/2021","38,326","39,397","39,397","38,131","5.34M","-2.84%"
"11/15/2021","39,446","40,420","40,566","38,959","6.69M","-2.17%"
"11/12/2021","40,322","40,907","41,199","39,738","2.87M","-1.19%"
"11/11/2021","40,809","40,176","41,686","39,397","7.15M","1.95%"
"11/10/2021","40,030","39,640","40,712","39,056","4.58M","1.23%"
"11/09/2021","39,543","39,738","40,127","39,300","3.74M","-0.25%"
"11/08/2021","39,641","39,348","40,420","39,154","4.28M","1.50%"
"11/05/2021","39,056","39,154","39,640","38,861","4.26M","0.38%"
"11/04/2021","38,910","38,861","39,835","38,277","4.40M","1.65%"
"11/03/2021","38,277","42,173","42,173","38,277","6.91M","-6.65%"
"11/02/2021","41,004","38,180","41,004","37,985","8.46M","6.99%"
"11/01/2021","38,326","38,764","38,959","37,985","5.67M","-1.13%"
"10/29/2021","38,764","39,446","39,835","38,520","4.72M","-0.62%"
"10/28/2021","39,007","38,959","39,835","38,180","4.76M","0.13%"
"10/27/2021","38,959","38,569","39,738","38,228","6.28M","1.39%"
"10/26/2021","38,423","38,277","38,569","37,595","2.91M","0.38%"
"10/25/2021","38,277","37,790","39,202","37,303","8.64M","2.61%"
"10/22/2021","37,303","36,183","37,449","36,134","5.28M","3.23%"
"10/21/2021","36,134","36,816","36,816","35,939","2.64M","-1.07%"
"10/20/2021","36,524","36,475","36,816","36,134","2.72M","0.00%"
"10/19/2021","36,524","36,816","36,816","36,232","3.83M","-0.92%"
"10/18/2021","36,865","37,206","37,790","36,816","4.12M","-0.92%"
"10/15/2021","37,206","37,595","37,985","36,816","3.56M","-0.52%"
"10/14/2021","37,400","36,865","37,790","36,621","4.98M","2.40%"
"10/13/2021","36,524","36,719","36,719","36,280","2.50M","-0.79%"
"10/12/2021","36,816","37,206","37,206","36,670","4.80M","0.00%"
"10/11/2021","36,816","37,011","37,303","36,621","2.92M","0.40%"
"10/08/2021","36,670","37,303","37,449","36,573","3.44M","-1.44%"
"10/07/2021","37,206","37,303","37,595","36,816","4.04M","0.92%"
"10/06/2021","36,865","36,670","37,352","36,573","2.93M","0.93%"
"10/05/2021","36,524","36,378","36,913","36,183","3.01M","1.08%"
"10/04/2021","36,134","35,355","36,572","35,160","3.46M","2.77%"
"10/01/2021","35,160","34,819","35,501","34,576","2.70M","0.56%"
"09/30/2021","34,966","35,501","35,550","34,966","1.72M","-0.28%"
"09/29/2021","35,063","34,771","35,647","34,771","3.53M","0.56%"
"09/28/2021","34,868","34,235","35,112","34,040","4.57M","0.56%"
"09/27/2021","34,673","36,426","36,524","34,673","3.94M","-3.78%"
"09/24/2021","36,037","36,378","37,011","36,037","2.89M","-0.54%"
"09/23/2021","36,232","37,011","37,498","36,037","3.71M","0.54%"
"09/22/2021","36,037","35,550","36,232","35,355","3.56M","1.65%"
"09/21/2021","35,452","35,842","36,378","34,430","6.77M","-2.67%"
"09/20/2021","36,426","37,693","37,985","36,426","4.25M","-2.98%"
"09/17/2021","37,547","37,498","38,131","37,011","3.73M","0.39%"
"09/16/2021","37,400","37,108","37,790","37,108","2.23M","-0.26%"
"09/15/2021","37,498","36,475","37,790","36,475","2.47M","1.32%"
"09/14/2021","37,011","36,524","37,303","36,134","3.67M","0.80%"
"09/13/2021","36,719","38,180","38,277","36,524","7.51M","-4.07%"
"09/10/2021","38,277","38,959","38,959","38,180","3.42M","-1.63%"
"09/09/2021","38,910","38,033","38,910","37,887","4.01M","2.44%"
"09/08/2021","37,985","37,887","38,667","37,498","4.27M","0.39%"
"09/07/2021","37,839","38,277","38,910","37,644","6.22M","-1.14%"
"09/06/2021","38,277","39,933","39,933","38,277","6.79M","-2.00%"
"09/01/2021","39,056","37,011","39,446","37,011","8.43M","3.48%"
"08/31/2021","37,741","36,621","38,861","36,378","9.61M","3.06%"
"08/30/2021","36,621","36,962","37,303","36,232","5.45M","0.53%"
"08/27/2021","36,426","34,089","36,426","33,602","7.52M","5.35%"
"08/26/2021","34,576","34,673","35,452","34,235","4.53M","0.85%"
"08/25/2021","34,284","33,407","34,284","33,212","3.38M","3.53%"
"08/24/2021","33,115","33,310","34,089","32,823","6.46M","-0.58%"
"08/23/2021","33,310","35,160","35,939","33,310","7.32M","-5.91%"
"08/20/2021","35,404","37,595","37,985","35,160","12.42M","-6.31%"
"08/19/2021","37,790","36,378","37,985","36,232","6.67M","3.33%"
"08/18/2021","36,573","36,037","37,303","35,891","4.80M","0.13%"
"08/17/2021","36,524","36,621","37,498","36,134","7.54M","0.81%"
"08/16/2021","36,232","34,381","36,232","34,089","10.69M","6.90%"
"08/13/2021","33,894","33,212","33,991","32,677","4.72M","1.46%"
"08/12/2021","33,407","32,920","34,284","32,628","5.68M","0.59%"
"08/11/2021","33,212","34,089","34,284","33,164","6.14M","-2.57%"
"08/10/2021","34,089","34,527","34,625","33,894","6.39M","-0.57%"
"08/09/2021","34,284","33,115","34,430","33,115","5.09M","2.92%"
"08/06/2021","33,310","33,943","34,284","33,310","5.65M","-1.87%"
"08/05/2021","33,943","32,531","34,235","32,141","9.05M","4.19%"
"08/04/2021","32,579","33,018","33,212","32,287","4.16M","-0.74%"
"08/03/2021","32,823","32,628","33,018","31,946","4.86M","0.60%"
"08/02/2021","32,628","32,141","33,504","32,141","6.19M","-0.59%"
"07/30/2021","32,823","32,433","32,920","32,190","5.20M","1.66%"
"07/29/2021","32,287","31,800","32,433","31,362","4.27M","1.53%"
"07/28/2021","31,800","31,703","32,336","31,459","4.19M","-0.46%"
"07/27/2021","31,946","32,141","32,628","31,703","4.46M","0.92%"
"07/26/2021","31,654","30,193","31,654","29,998","5.02M","4.84%"
"07/23/2021","30,193","30,290","31,508","30,144","6.44M","-1.59%"
"07/22/2021","30,680","29,414","30,923","29,170","4.44M","4.30%"
"07/21/2021","29,414","30,193","30,485","29,219","2.46M","-1.95%"
"07/20/2021","29,998","29,170","29,998","28,245","4.15M","5.48%"
"07/19/2021","28,440","29,219","29,998","28,440","5.44M","-6.86%"
"07/16/2021","30,534","29,706","31,118","29,706","4.05M","2.79%"
"07/15/2021","29,706","28,099","29,803","28,099","3.20M","4.10%"
"07/14/2021","28,537","28,976","29,998","27,661","3.72M","-2.33%"
"07/13/2021","29,219","28,829","29,706","28,440","3.52M","2.04%"
"07/12/2021","28,635","29,219","29,901","28,635","7.09M","-6.96%"
"07/09/2021","30,777","32,238","32,920","30,777","9.41M","-6.92%"
"07/08/2021","33,066","33,943","33,943","32,628","3.89M","-2.02%"
"07/07/2021","33,748","33,310","33,797","31,167","5.96M","2.51%"
"07/06/2021","32,920","35,793","36,719","32,920","7.99M","-6.89%"
"07/05/2021","35,355","35,160","35,647","34,673","4.53M","0.28%"
"07/02/2021","35,258","35,452","35,793","35,063","3.96M","-0.55%"
"07/01/2021","35,452","34,186","35,891","34,089","6.76M","4.00%"
