"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","46,364.0","47,636.0","47,636.0","46,364.0","1.99M","-2.11%"
"12/30/2021","47,364.0","48,636.0","48,727.0","47,273.0","2.43M","-1.70%"
"12/29/2021","48,182.0","47,818.0","49,818.0","47,818.0","4.73M","0.95%"
"12/28/2021","47,727.0","48,273.0","48,818.0","47,273.0","1.80M","-0.94%"
"12/27/2021","48,182.0","46,364.0","48,364.0","45,545.0","3.86M","3.92%"
"12/24/2021","46,364.0","47,273.0","47,636.0","45,909.0","1.22M","-1.35%"
"12/23/2021","47,000.0","47,273.0","48,273.0","46,455.0","4.59M","0.00%"
"12/22/2021","47,000.0","45,182.0","48,364.0","45,182.0","4.41M","2.99%"
"12/21/2021","45,636.0","45,273.0","46,091.0","44,818.0","1.94M","0.40%"
"12/20/2021","45,455.0","45,909.0","45,909.0","44,682.0","1.92M","-0.79%"
"12/17/2021","45,818.0","44,364.0","46,000.0","44,091.0","6.62M","4.13%"
"12/16/2021","44,000.0","43,682.0","44,364.0","43,682.0","1.33M","0.42%"
"12/15/2021","43,818.0","44,182.0","44,545.0","43,682.0","1.55M","-0.62%"
"12/14/2021","44,091.0","45,045.0","45,273.0","44,000.0","2.12M","-2.22%"
"12/13/2021","45,091.0","44,273.0","45,455.0","43,682.0","2.74M","3.76%"
"12/10/2021","43,455.0","43,682.0","44,273.0","43,227.0","1.94M","-0.62%"
"12/09/2021","43,727.0","41,636.0","43,773.0","41,545.0","3.11M","5.02%"
"12/08/2021","41,636.0","41,182.0","41,773.0","41,091.0","1.09M","1.10%"
"12/07/2021","41,182.0","39,591.0","41,273.0","39,591.0","1.22M","4.62%"
"12/06/2021","39,364.0","41,818.0","41,955.0","39,091.0","1.18M","-5.97%"
"12/03/2021","41,864.0","42,273.0","42,591.0","41,864.0","1.43M","-0.54%"
"12/02/2021","42,091.0","42,182.0","42,636.0","41,773.0","1.49M","0.65%"
"12/01/2021","41,818.0","42,273.0","42,273.0","41,773.0","1.18M","-0.97%"
"11/30/2021","42,227.0","41,773.0","42,545.0","41,727.0","1.75M","1.64%"
"11/29/2021","41,545.0","41,364.0","42,091.0","40,909.0","1.51M","-1.40%"
"11/26/2021","42,136.0","42,636.0","42,636.0","42,045.0","1.53M","-0.75%"
"11/25/2021","42,455.0","42,727.0","43,000.0","42,455.0","1.75M","-0.42%"
"11/24/2021","42,636.0","41,455.0","42,636.0","41,182.0","1.61M","3.08%"
"11/23/2021","41,364.0","39,091.0","41,364.0","39,091.0","1.40M","5.81%"
"11/22/2021","39,091.0","41,545.0","42,273.0","39,091.0","2.88M","-6.32%"
"11/19/2021","41,727.0","43,318.0","43,455.0","41,273.0","4.03M","-3.57%"
"11/18/2021","43,273.0","43,818.0","44,000.0","43,273.0","2.30M","-1.45%"
"11/17/2021","43,909.0","43,636.0","44,091.0","43,545.0","1.13M","0.10%"
"11/16/2021","43,864.0","44,091.0","44,636.0","43,091.0","3.09M","-2.13%"
"11/15/2021","44,818.0","45,455.0","45,455.0","44,682.0","3.03M","-0.40%"
"11/12/2021","45,000.0","45,273.0","45,636.0","44,455.0","2.38M","-0.60%"
"11/11/2021","45,273.0","44,091.0","45,727.0","44,091.0","6.79M","3.11%"
"11/10/2021","43,909.0","44,045.0","44,273.0","43,545.0","3.24M","-0.21%"
"11/09/2021","44,000.0","44,000.0","44,636.0","43,636.0","3.80M","0.73%"
"11/08/2021","43,682.0","43,682.0","44,000.0","43,182.0","3.21M","-0.31%"
"11/05/2021","43,818.0","43,545.0","44,227.0","43,227.0","2.59M","1.58%"
"11/04/2021","43,136.0","42,545.0","44,091.0","42,409.0","3.60M","0.53%"
"11/03/2021","42,909.0","46,364.0","46,364.0","42,682.0","5.53M","-6.35%"
"11/02/2021","45,818.0","44,409.0","46,455.0","44,273.0","4.28M","2.86%"
"11/01/2021","44,545.0","45,455.0","45,545.0","44,182.0","6.50M","-3.92%"
"10/29/2021","46,364.0","45,182.0","46,364.0","44,773.0","5.32M","3.03%"
"10/28/2021","45,000.0","43,682.0","45,545.0","43,545.0","4.66M","3.13%"
"10/27/2021","43,636.0","42,273.0","43,682.0","42,136.0","4.94M","4.23%"
"10/26/2021","41,864.0","42,136.0","42,364.0","41,364.0","3.22M","-1.18%"
"10/25/2021","42,364.0","41,818.0","43,318.0","41,545.0","4.72M","2.31%"
"10/22/2021","41,409.0","40,909.0","41,500.0","40,818.0","2.84M","1.45%"
"10/21/2021","40,818.0","40,364.0","41,364.0","40,318.0","4.63M","1.35%"
"10/20/2021","40,273.0","40,500.0","40,818.0","39,545.0","2.86M","-0.56%"
"10/19/2021","40,500.0","40,545.0","41,182.0","40,273.0","4.41M","0.56%"
"10/18/2021","40,273.0","39,864.0","40,727.0","39,818.0","4.31M","1.03%"
"10/15/2021","39,864.0","39,773.0","40,136.0","39,682.0","3.07M","0.12%"
"10/14/2021","39,818.0","39,636.0","40,364.0","39,591.0","4.77M","0.57%"
"10/13/2021","39,591.0","39,636.0","39,818.0","39,500.0","2.75M","0.00%"
"10/12/2021","39,591.0","39,682.0","39,955.0","39,182.0","2.25M","-0.23%"
