"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","24,083.3","23,916.7","24,458.3","23,750.0","15.59M","1.58%"
"12/30/2021","23,708.3","23,833.3","23,958.3","23,583.3","5.94M","0.53%"
"12/29/2021","23,583.3","23,708.3","24,041.7","23,541.7","11.08M","0.00%"
"12/28/2021","23,583.3","23,625.0","23,666.7","23,375.0","7.54M","0.53%"
"12/27/2021","23,458.3","23,583.3","23,666.7","23,250.0","4.64M","0.00%"
"12/24/2021","23,458.3","22,708.3","23,458.3","22,708.3","8.17M","3.11%"
"12/23/2021","22,750.0","23,166.7","23,208.3","22,583.3","12.17M","-1.27%"
"12/22/2021","23,041.7","23,291.7","23,375.0","22,958.3","10.40M","-1.07%"
"12/21/2021","23,291.7","23,416.7","23,500.0","23,208.3","7.64M","0.18%"
"12/20/2021","23,250.0","23,500.0","23,541.7","23,250.0","8.94M","-1.06%"
"12/17/2021","23,500.0","23,583.3","23,666.7","23,416.7","8.49M","-0.18%"
"12/16/2021","23,541.7","24,000.0","24,000.0","23,500.0","6.79M","-0.88%"
"12/15/2021","23,750.0","23,541.7","23,875.0","23,500.0","7.69M","0.88%"
"12/14/2021","23,541.7","23,625.0","23,833.3","23,500.0","7.36M","-0.53%"
"12/13/2021","23,666.7","23,625.0","23,750.0","23,583.3","10.63M","0.18%"
"12/10/2021","23,625.0","23,875.0","23,916.7","23,541.7","7.59M","-0.70%"
"12/09/2021","23,791.7","23,416.7","23,833.3","23,416.7","5.51M","0.53%"
"12/08/2021","23,666.7","23,500.0","23,916.7","23,375.0","8.83M","0.89%"
"12/07/2021","23,458.3","23,083.3","23,500.0","23,041.7","9.32M","2.36%"
"12/06/2021","22,916.7","23,583.3","23,791.7","22,500.0","19.60M","-2.83%"
"12/03/2021","23,583.3","24,416.7","24,500.0","23,583.3","14.93M","-2.75%"
"12/02/2021","24,250.0","24,708.3","24,750.0","24,250.0","8.77M","-1.36%"
"12/01/2021","24,583.3","24,166.7","24,583.3","24,000.0","12.66M","1.72%"
"11/30/2021","24,166.7","25,125.0","25,166.7","24,083.3","24.75M","-2.68%"
"11/29/2021","24,833.3","24,750.0","24,958.3","24,500.0","20.51M","-1.65%"
"11/26/2021","25,250.0","25,916.7","25,958.3","25,125.0","20.12M","-1.94%"
"11/25/2021","25,750.0","26,083.3","26,208.3","25,625.0","24.83M","0.00%"
"11/24/2021","25,750.0","24,083.3","25,750.0","23,958.3","51.61M","6.92%"
"11/23/2021","24,083.3","24,458.3","24,500.0","24,041.7","11.82M","-1.03%"
"11/22/2021","24,333.3","23,708.3","24,583.3","23,666.7","28.14M","3.18%"
"11/19/2021","23,583.3","23,500.0","24,125.0","23,333.3","21.93M","0.00%"
"11/18/2021","23,583.3","23,916.7","23,916.7","23,583.3","11.20M","-1.39%"
"11/17/2021","23,916.7","23,875.0","23,916.7","23,666.7","8.32M","0.17%"
"11/16/2021","23,875.0","24,000.0","24,125.0","23,750.0","16.66M","0.17%"
"11/15/2021","23,833.3","23,916.7","24,166.7","23,708.3","15.13M","0.17%"
"11/12/2021","23,791.7","23,333.3","23,791.7","23,333.3","11.37M","1.60%"
"11/11/2021","23,416.7","23,833.3","23,833.3","23,333.3","15.43M","-1.75%"
"11/10/2021","23,833.3","24,000.0","24,000.0","23,791.7","12.72M","0.00%"
