"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","141,459","140,466","141,955","139,556","7.85M","-0.29%"
"12/30/2021","141,872","142,286","142,948","139,804","6.11M","-0.29%"
"12/29/2021","142,286","141,872","144,023","140,218","7.46M","0.29%"
"12/28/2021","141,872","140,218","144,602","138,315","9.23M","1.48%"
"12/27/2021","139,804","141,376","144,768","139,060","8.54M","-1.17%"
"12/24/2021","141,459","141,459","144,768","139,060","9.27M","0.00%"
"12/23/2021","141,459","140,549","144,768","137,819","11.84M","0.59%"
"12/22/2021","140,632","138,977","141,459","137,488","10.42M","2.04%"
"12/21/2021","137,819","134,014","137,902","132,359","9.03M","2.84%"
"12/20/2021","134,014","134,014","134,758","130,291","6.04M","2.86%"
"12/17/2021","130,291","132,111","133,683","130,043","3.58M","-1.56%"
"12/16/2021","132,359","133,186","133,931","125,907","1.15M","-0.62%"
"12/15/2021","133,186","129,050","133,186","129,050","1.47M","2.55%"
"12/14/2021","129,877","128,967","130,291","128,802","1.13M","0.64%"
"12/13/2021","129,050","127,478","130,208","127,230","1.75M","1.50%"
"12/10/2021","127,148","126,568","127,396","124,252","1.20M","-0.19%"
"12/09/2021","127,396","124,087","127,396","124,087","941.28K","1.92%"
"12/08/2021","124,997","125,079","125,741","124,997","778.08K","-0.53%"
"12/07/2021","125,658","124,500","126,155","124,500","683.64K","0.60%"
"12/06/2021","124,914","124,914","126,568","119,950","1.32M","0.00%"
"12/03/2021","124,914","125,741","128,637","124,914","1.38M","-0.66%"
"12/02/2021","125,741","124,087","126,899","124,087","1.21M","1.40%"
"12/01/2021","124,004","123,259","125,741","123,259","1.51M","0.47%"
"11/30/2021","123,425","126,320","127,313","123,425","1.79M","-2.16%"
"11/29/2021","126,155","128,223","129,050","125,824","1.77M","-3.17%"
"11/26/2021","130,291","129,050","130,291","128,388","1.36M","0.00%"
"11/25/2021","130,291","129,877","131,532","128,306","1.26M","0.32%"
"11/24/2021","129,877","128,637","132,111","127,478","1.56M","0.32%"
"11/23/2021","129,464","122,929","129,712","122,929","2.24M","4.40%"
"11/22/2021","124,004","122,019","124,004","121,605","761.52K","1.70%"
"11/19/2021","121,936","123,259","124,004","121,936","1.56M","-0.41%"
"11/18/2021","122,432","124,500","125,741","122,432","1.27M","-1.66%"
"11/17/2021","124,500","124,914","125,741","124,169","434.64K","-0.99%"
"11/16/2021","125,741","127,230","128,306","124,087","2.04M","-1.30%"
"11/15/2021","127,396","124,087","127,396","122,598","2.19M","2.94%"
"11/12/2021","123,756","121,522","124,169","121,440","1.75M","1.84%"
"11/11/2021","121,522","123,094","124,914","120,778","2.09M","-0.54%"
"11/10/2021","122,184","122,432","123,921","121,522","1.58M","-0.07%"
"11/09/2021","122,267","126,486","126,486","122,184","1.77M","-2.76%"
"11/08/2021","125,741","124,087","126,238","123,094","2.25M","2.84%"
"11/05/2021","122,267","122,432","124,004","121,770","1.48M","-0.07%"
"11/04/2021","122,349","120,612","123,673","119,950","1.38M","1.65%"
"11/03/2021","120,364","120,364","122,432","119,123","1.62M","0.00%"
"11/02/2021","120,364","120,364","123,011","120,281","1.23M","0.00%"
"11/01/2021","120,364","124,087","124,169","120,033","2.00M","-3.58%"
"10/29/2021","124,831","124,087","125,741","122,019","1.86M","-0.53%"
"10/28/2021","125,493","121,440","126,155","119,123","2.11M","3.34%"
