"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","67,511","66,716","67,511","66,269","2.26M","1.19%"
"12/30/2021","66,716","66,815","67,262","66,567","1.67M","-0.07%"
"12/29/2021","66,766","66,865","67,560","66,617","1.27M","-1.03%"
"12/28/2021","67,461","67,312","67,461","66,120","1.49M","0.67%"
"12/27/2021","67,014","66,915","67,262","66,070","1.45M","0.22%"
"12/24/2021","66,865","66,368","66,865","65,822","1.12M","0.75%"
"12/23/2021","66,368","66,964","67,461","65,474","1.87M","-0.89%"
"12/22/2021","66,964","66,368","68,057","66,269","2.60M","1.35%"
"12/21/2021","66,070","66,070","66,070","65,623","947.20K","0.00%"
"12/20/2021","66,070","66,319","66,865","65,822","1.59M","-1.12%"
"12/17/2021","66,815","66,368","67,064","66,120","1.47M","0.67%"
"12/16/2021","66,368","67,560","67,560","66,368","1.62M","-1.69%"
"12/15/2021","67,511","67,262","67,560","66,567","1.20M","0.37%"
"12/14/2021","67,262","66,915","67,560","66,319","1.33M","0.37%"
"12/13/2021","67,014","66,766","67,014","66,567","1.29M","0.60%"
"12/10/2021","66,617","66,120","67,014","66,070","1.41M","0.07%"
"12/09/2021","66,567","66,517","67,064","66,319","1.38M","0.07%"
"12/08/2021","66,517","66,368","67,064","66,070","1.38M","0.30%"
"12/07/2021","66,319","65,275","66,319","65,275","1.33M","1.60%"
"12/06/2021","65,275","66,319","66,319","63,040","3.35M","-1.57%"
"12/03/2021","66,319","67,710","68,057","66,319","2.10M","-2.55%"
"12/02/2021","68,057","68,951","68,951","67,958","1.23M","-1.37%"
"12/01/2021","69,001","67,809","69,548","67,610","2.99M","0.00%"
"11/30/2021","69,001","68,802","69,498","68,008","2.18M","1.02%"
"11/29/2021","68,306","69,001","69,895","68,256","4.74M","-2.83%"
"11/26/2021","70,293","71,932","72,280","70,293","2.52M","-2.41%"
"11/25/2021","72,031","71,584","72,031","70,789","1.69M","0.69%"
"11/24/2021","71,535","71,038","71,535","70,193","2.98M","0.70%"
"11/23/2021","71,038","68,852","71,535","68,604","3.85M","3.17%"
"11/22/2021","68,852","69,548","69,746","68,554","2.23M","-0.29%"
"11/19/2021","69,051","69,548","70,044","67,560","2.76M","0.00%"
"11/18/2021","69,051","68,703","70,293","67,958","4.26M","0.80%"
"11/17/2021","68,504","68,405","68,554","67,660","1.72M","0.00%"
"11/16/2021","68,504","68,554","69,051","67,560","2.98M","-1.08%"
"11/15/2021","69,250","67,710","69,498","67,710","5.26M","2.50%"
"11/12/2021","67,560","67,560","67,560","66,517","2.37M","0.74%"
"11/11/2021","67,064","65,325","67,560","64,828","8.88M","2.66%"
"11/10/2021","65,325","64,580","65,325","64,332","1.53M","1.15%"
"11/09/2021","64,580","65,474","65,573","64,580","2.10M","-1.22%"
"11/08/2021","65,375","65,573","66,070","65,375","2.25M","-0.30%"
"11/05/2021","65,573","66,070","66,070","65,077","3.27M","1.62%"
"11/04/2021","64,530","63,835","64,878","63,586","1.90M","0.85%"
"11/03/2021","63,984","64,033","64,580","63,338","2.81M","-0.08%"
"11/02/2021","64,033","63,835","64,530","63,835","1.73M","-0.85%"
"11/01/2021","64,580","65,325","65,474","64,083","2.28M","-1.07%"
"10/29/2021","65,275","65,325","65,524","65,027","2.69M","-0.45%"
"10/28/2021","65,573","65,226","65,822","63,835","2.38M","0.00%"
"10/27/2021","65,573","63,586","66,021","63,586","4.13M","3.13%"
"10/26/2021","63,586","63,586","63,586","63,040","1.99M","-0.31%"
"10/25/2021","63,785","63,586","64,481","63,586","1.85M","0.63%"
"10/22/2021","63,388","63,735","63,785","63,139","1.85M","0.47%"
"10/21/2021","63,090","64,182","64,580","63,090","2.94M","-1.70%"
"10/20/2021","64,182","64,530","65,077","63,586","2.67M","-0.39%"
"10/19/2021","64,431","64,530","65,077","64,133","2.30M","-0.77%"
"10/18/2021","64,928","65,673","66,021","64,928","2.93M","-1.28%"
"10/15/2021","65,772","66,319","66,418","65,573","1.65M","-0.82%"
"10/14/2021","66,319","66,567","66,964","65,573","3.85M","-0.30%"
"10/13/2021","66,517","65,722","66,666","65,623","3.79M","1.36%"
"10/12/2021","65,623","64,332","65,971","64,332","4.56M","2.01%"
"10/11/2021","64,332","64,033","64,431","63,338","3.50M","0.54%"
"10/08/2021","63,984","63,338","64,332","63,239","3.01M","0.62%"
"10/07/2021","63,586","63,239","63,735","63,239","1.93M","-0.23%"
"10/06/2021","63,735","62,941","64,580","62,792","3.38M","1.18%"
"10/05/2021","62,990","62,593","62,990","62,146","1.88M","0.48%"
"10/04/2021","62,692","62,096","62,692","61,252","4.38M","0.00%"
"10/01/2021","62,692","63,090","63,487","62,593","2.17M","-1.25%"
"09/30/2021","63,487","63,487","64,083","62,941","2.09M","0.00%"
"09/29/2021","63,487","62,990","63,835","62,990","2.42M","0.87%"
"09/28/2021","62,941","61,897","63,090","61,550","2.69M","0.56%"
"09/27/2021","62,593","64,083","64,083","62,593","7.48M","-3.45%"
"09/24/2021","64,828","65,673","66,567","64,630","2.64M","-1.14%"
"09/23/2021","65,573","62,841","66,269","62,841","5.18M","5.01%"
"09/22/2021","62,444","61,599","62,792","61,550","2.59M","1.53%"
"09/21/2021","61,500","60,159","62,344","60,159","2.66M","0.65%"
"09/20/2021","61,103","62,046","63,090","60,308","2.74M","0.00%"
"09/17/2021","61,103","61,401","61,599","60,705","1.84M","-0.49%"
"09/16/2021","61,401","61,848","61,848","61,003","1.56M","-0.80%"
"09/15/2021","61,897","61,351","62,096","61,003","1.46M","0.08%"
