"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","91,000","86,300","91,000","86,100","2.91M","5.45%"
"12/30/2021","86,300","87,000","87,200","85,700","1.48M","-0.80%"
"12/29/2021","87,000","87,100","87,800","85,100","1.95M","0.00%"
"12/28/2021","87,000","89,400","89,400","87,000","1.82M","-2.25%"
"12/27/2021","89,000","88,900","89,900","87,800","1.04M","0.11%"
"12/24/2021","88,900","89,800","89,800","87,000","3.49M","3.06%"
"12/23/2021","86,260","88,550","89,695","85,115","8.06M","-3.17%"
"12/22/2021","89,084","89,313","90,000","87,405","6.74M","0.09%"
"12/21/2021","89,008","88,015","89,313","87,328","5.17M","1.13%"
"12/20/2021","88,015","87,710","88,168","86,947","3.79M","0.09%"
"12/17/2021","87,939","87,863","89,084","86,947","6.14M","0.17%"
"12/16/2021","87,786","88,397","89,313","87,023","6.12M","0.00%"
"12/15/2021","87,786","86,336","87,786","85,496","4.50M","1.68%"
"12/14/2021","86,336","84,886","87,099","84,809","6.70M","0.89%"
"12/13/2021","85,573","86,260","87,023","84,733","5.67M","-0.80%"
"12/10/2021","86,260","88,168","88,321","86,260","3.79M","-1.74%"
"12/09/2021","87,786","87,023","88,397","86,641","7.49M","0.96%"
"12/08/2021","86,947","86,260","87,023","85,115","4.54M","1.16%"
"12/07/2021","85,954","84,886","86,183","83,969","4.39M","1.44%"
"12/06/2021","84,733","83,969","86,565","83,206","7.71M","0.00%"
"12/03/2021","84,733","88,931","88,931","84,504","6.78M","-2.89%"
"12/02/2021","87,252","88,550","89,160","86,336","5.82M","0.26%"
"12/01/2021","87,023","84,733","87,786","84,351","5.03M","3.64%"
"11/30/2021","83,969","84,733","85,420","82,519","5.99M","-0.18%"
"11/29/2021","84,122","81,985","84,504","81,985","4.54M","-0.45%"
"11/26/2021","84,504","83,359","86,183","83,282","6.86M","1.56%"
"11/25/2021","83,206","81,679","83,817","81,450","5.58M","2.44%"
"11/24/2021","81,221","81,832","82,443","80,763","3.91M","0.19%"
"11/23/2021","81,069","78,015","81,069","78,015","3.89M","4.02%"
"11/22/2021","77,939","78,244","78,397","77,405","2.51M","-0.10%"
"11/19/2021","78,015","78,321","78,626","77,481","3.33M","-0.49%"
"11/18/2021","78,397","79,084","79,084","78,168","3.53M","-0.48%"
"11/17/2021","78,779","79,466","79,466","78,626","2.68M","0.10%"
"11/16/2021","78,702","79,084","79,847","78,702","3.01M","-0.48%"
"11/15/2021","79,084","81,527","81,527","79,084","3.11M","-2.26%"
"11/12/2021","80,916","80,916","81,679","80,153","1.96M","0.47%"
"11/11/2021","80,534","80,153","82,366","79,389","4.14M","1.44%"
"11/10/2021","79,389","79,084","79,847","78,626","2.77M","0.97%"
"11/09/2021","78,626","79,771","80,076","78,626","4.70M","-1.53%"
"11/08/2021","79,847","80,382","80,763","79,695","3.46M","-0.38%"
"11/05/2021","80,153","79,389","80,763","79,084","3.91M","0.96%"
"11/04/2021","79,389","80,534","81,145","79,389","4.42M","-1.14%"
"11/03/2021","80,305","82,443","82,519","80,229","7.47M","-2.68%"
"11/02/2021","82,519","82,366","83,206","82,214","4.64M","-1.37%"
"11/01/2021","83,664","84,504","84,657","83,206","4.47M","0.27%"
"10/29/2021","83,435","83,435","85,496","83,130","8.82M","1.39%"
"10/28/2021","82,290","79,389","83,969","79,160","10.00M","3.75%"
"10/27/2021","79,313","78,855","79,771","78,397","2.40M","0.58%"
"10/26/2021","78,855","79,389","79,924","78,321","3.34M","-0.48%"
"10/25/2021","79,237","79,084","80,076","78,626","4.39M","0.48%"
"10/22/2021","78,855","77,863","79,313","77,786","2.34M","1.27%"
"10/21/2021","77,863","78,244","78,321","77,634","3.42M","-0.29%"
"10/20/2021","78,092","78,321","79,237","77,481","3.21M","-0.29%"
"10/19/2021","78,321","77,786","79,389","77,252","4.56M","0.88%"
"10/18/2021","77,634","77,863","78,015","77,481","2.93M","-0.29%"
"10/15/2021","77,863","78,092","78,321","77,710","2.85M","-0.29%"
"10/14/2021","78,092","78,550","78,626","77,863","3.72M","-0.29%"
"10/13/2021","78,321","78,626","79,160","78,321","2.15M","-0.39%"
"10/12/2021","78,626","79,160","79,160","78,550","3.08M","-0.96%"
"10/11/2021","79,389","79,771","79,847","79,160","2.98M","-0.48%"
"10/08/2021","79,771","79,542","79,771","78,702","2.01M","0.38%"
"10/07/2021","79,466","80,153","80,763","79,466","3.19M","-0.86%"
"10/06/2021","80,153","80,382","80,763","79,542","4.44M","0.57%"
"10/05/2021","79,695","77,863","80,534","77,481","3.78M","2.35%"
"10/04/2021","77,863","77,405","77,863","77,252","2.30M","0.00%"
"10/01/2021","77,863","77,634","77,863","77,252","2.28M","0.00%"
"09/30/2021","77,863","77,863","77,863","77,481","1.25M","0.00%"
"09/29/2021","77,863","78,244","78,321","77,405","1.83M","-0.58%"
"09/28/2021","78,321","78,015","78,321","78,015","1.43M","0.20%"
"09/27/2021","78,168","78,473","78,550","78,092","2.10M","-0.58%"
"09/24/2021","78,626","78,550","78,626","78,168","2.80M","0.00%"
"09/23/2021","78,626","78,473","78,626","78,092","3.01M","-0.10%"
"09/22/2021","78,702","78,550","78,779","78,244","2.88M","0.10%"
"09/21/2021","78,626","78,626","78,626","78,092","3.10M","0.00%"
"09/20/2021","78,626","78,626","79,008","78,092","3.91M","-0.19%"
"09/17/2021","78,779","78,702","79,008","78,397","3.41M","0.10%"
"09/16/2021","78,702","79,008","79,160","78,321","2.50M","0.00%"
"09/15/2021","78,702","78,626","78,702","78,321","2.51M","0.10%"
"09/14/2021","78,626","78,779","78,931","78,321","2.73M","0.00%"
"09/13/2021","78,626","78,779","78,931","78,397","3.36M","-0.29%"
"09/10/2021","78,855","78,855","79,389","78,702","2.90M","0.10%"
"09/09/2021","78,779","79,237","79,618","78,779","2.84M","-0.77%"
"09/08/2021","79,389","80,000","80,076","79,389","2.62M","-0.76%"
"09/07/2021","80,000","80,000","80,534","79,618","3.05M","0.00%"
"09/06/2021","80,000","80,382","81,069","79,847","3.50M","0.10%"
"09/01/2021","79,924","79,695","80,534","79,466","2.62M","0.29%"
"08/31/2021","79,695","79,389","80,458","78,855","3.10M","0.39%"
"08/30/2021","79,389","79,237","79,618","78,931","2.66M","0.19%"
"08/27/2021","79,237","79,008","79,237","78,397","2.87M","0.10%"
"08/26/2021","79,160","80,534","80,687","79,008","3.37M","-1.71%"
"08/25/2021","80,534","80,534","81,679","80,000","3.89M","0.00%"
"08/24/2021","80,534","80,534","80,916","79,008","3.18M","0.57%"
"08/23/2021","80,076","79,160","81,069","79,008","4.47M","1.16%"
"08/20/2021","79,160","80,000","80,000","78,321","4.05M","-1.14%"
"08/19/2021","80,076","78,244","80,153","78,015","6.37M","1.84%"
"08/18/2021","78,626","79,237","79,237","78,321","3.67M","-0.19%"
"08/17/2021","78,779","79,389","79,389","78,779","2.35M","-0.58%"
"08/16/2021","79,237","79,084","79,771","78,931","2.74M","0.29%"
"08/13/2021","79,008","79,008","79,313","78,702","2.92M","-0.10%"
"08/12/2021","79,084","79,237","79,618","79,008","2.92M","-0.29%"
"08/11/2021","79,313","79,847","80,458","79,008","3.83M","-0.67%"
"08/10/2021","79,847","80,916","81,679","79,847","4.10M","-1.32%"
"08/09/2021","80,916","82,061","82,137","80,916","5.18M","-1.40%"
"08/06/2021","82,061","82,443","82,824","81,985","3.23M","-0.46%"
"08/05/2021","82,443","82,443","83,664","82,443","3.53M","0.47%"
"08/04/2021","82,061","80,763","83,893","80,458","7.54M","1.90%"
"08/03/2021","80,534","79,466","81,069","79,466","2.95M","0.86%"
"08/02/2021","79,847","79,008","81,527","78,626","3.23M","0.58%"
"07/30/2021","79,389","79,160","79,924","79,008","2.32M","0.00%"
"07/29/2021","79,389","79,695","79,847","79,160","1.61M","-0.10%"
"07/28/2021","79,466","80,153","80,153","79,466","1.89M","-2.25%"
"07/27/2021","81,298","80,153","81,527","80,153","5.20M","-0.93%"
"07/26/2021","82,061","78,550","82,061","78,168","4.64M","4.37%"
"07/23/2021","78,626","80,000","80,000","78,626","2.51M","-1.81%"
"07/22/2021","80,076","78,473","80,153","78,473","3.34M","1.75%"
"07/21/2021","78,702","78,855","79,618","78,550","3.35M","-0.39%"
"07/20/2021","79,008","78,626","79,008","77,786","3.88M","0.49%"
"07/19/2021","78,626","78,626","79,389","78,244","4.24M","-1.53%"
"07/16/2021","79,847","79,389","81,069","78,015","3.97M","0.58%"
"07/15/2021","79,389","78,626","79,389","78,244","2.52M","0.00%"
"07/14/2021","79,389","79,924","80,076","76,947","3.98M","-0.67%"
"07/13/2021","79,924","80,305","80,458","77,863","2.29M","-0.38%"
"07/12/2021","80,229","79,618","82,061","76,718","4.35M","1.55%"
"07/09/2021","79,008","85,038","85,038","78,779","6.30M","-6.59%"
"07/08/2021","84,580","87,176","89,313","83,817","12.74M","-6.10%"
"07/07/2021","90,076","89,313","90,076","88,168","4.87M","0.85%"
"07/06/2021","89,313","87,710","89,695","87,023","3.95M","1.74%"
"07/05/2021","87,786","90,153","90,229","87,252","3.21M","-3.36%"
"07/02/2021","90,840","93,053","93,053","89,313","6.72M","-0.83%"
"07/01/2021","91,603","93,969","94,351","90,992","6.03M","-0.83%"
