"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","69,846.0","69,405.7","70,212.8","69,259.0","7.11M","0.85%"
"12/30/2021","69,259.0","68,231.9","69,259.0","67,498.2","4.62M","1.51%"
"12/29/2021","68,231.9","69,185.6","69,405.7","67,938.4","4.08M","-1.17%"
"12/28/2021","69,038.9","69,332.4","69,699.2","68,745.4","3.95M","-0.53%"
"12/27/2021","69,405.7","69,479.1","69,699.2","68,231.9","4.77M","0.11%"
"12/24/2021","69,332.4","69,699.2","69,992.7","69,038.9","4.41M","-0.32%"
"12/23/2021","69,552.5","69,259.0","69,919.3","67,571.6","5.15M","0.64%"
"12/22/2021","69,112.3","70,432.9","70,946.5","69,038.9","4.86M","-1.67%"
"12/21/2021","70,286.2","70,212.8","70,579.6","69,405.7","4.83M","0.31%"
"12/20/2021","70,066.1","70,432.9","71,166.6","69,699.2","6.15M","0.00%"
"12/17/2021","70,066.1","71,680.1","72,560.6","70,066.1","5.36M","-2.25%"
"12/16/2021","71,680.1","69,185.6","71,900.2","69,185.6","7.79M","3.94%"
"12/15/2021","68,965.5","67,938.4","68,965.5","66,397.7","6.29M","1.62%"
"12/14/2021","67,865.0","72,267.1","72,267.1","67,865.0","6.07M","-5.90%"
"12/13/2021","72,120.4","72,413.8","72,927.4","71,826.9","5.80M","-0.41%"
"12/10/2021","72,413.8","72,487.2","73,220.9","71,680.1","6.80M","-0.10%"
"12/09/2021","72,487.2","72,487.2","72,487.2","71,753.5","5.44M","0.20%"
"12/08/2021","72,340.5","72,120.4","72,560.6","71,533.4","7.70M","0.82%"
"12/07/2021","71,753.5","70,579.6","71,753.5","70,066.1","7.79M","2.30%"
"12/06/2021","70,139.4","70,066.1","71,533.4","69,919.3","10.27M","0.74%"
"12/03/2021","69,625.9","70,066.1","70,286.2","69,038.9","6.44M","0.11%"
"12/02/2021","69,552.5","68,231.9","69,625.9","68,231.9","6.68M","1.94%"
"12/01/2021","68,231.9","68,452.0","68,672.1","67,571.6","4.39M","-0.64%"
"11/30/2021","68,672.1","69,259.0","69,625.9","67,865.0","5.66M","-0.43%"
"11/29/2021","68,965.5","69,699.2","69,699.2","68,378.6","4.65M","-1.88%"
"11/26/2021","70,286.2","69,625.9","70,799.7","69,625.9","7.63M","1.70%"
"11/25/2021","69,112.3","66,617.8","69,112.3","66,617.8","8.25M","4.20%"
"11/24/2021","66,324.3","66,617.8","67,131.4","66,250.9","4.93M","-0.33%"
"11/23/2021","66,544.4","66,691.1","67,058.0","65,443.9","5.33M","-0.22%"
"11/22/2021","66,691.1","66,544.4","67,791.7","66,397.7","4.93M","0.22%"
"11/19/2021","66,544.4","65,737.4","67,791.7","65,590.6","6.97M","1.23%"
"11/18/2021","65,737.4","66,030.8","66,397.7","65,737.4","4.68M","-0.44%"
"11/17/2021","66,030.8","66,397.7","67,131.4","65,664.0","4.62M","-0.55%"
"11/16/2021","66,397.7","66,691.1","66,837.9","65,664.0","5.45M","-0.55%"
"11/15/2021","66,764.5","67,058.0","67,498.2","66,397.7","5.97M","-0.44%"
"11/12/2021","67,058.0","67,498.2","68,158.5","66,544.4","5.21M","-0.54%"
"11/11/2021","67,424.8","65,443.9","68,745.4","65,443.9","7.33M","3.03%"
"11/10/2021","65,443.9","67,718.3","67,865.0","64,857.0","4.45M","-3.36%"
"11/09/2021","67,718.3","68,305.2","68,672.1","67,424.8","5.49M","-0.86%"
"11/08/2021","68,305.2","69,699.2","70,286.2","67,865.0","6.49M","-1.90%"
"11/05/2021","69,625.9","68,745.4","69,699.2","68,672.1","6.34M","1.28%"
"11/04/2021","68,745.4","68,672.1","69,112.3","67,498.2","6.38M","0.21%"
"11/03/2021","68,598.7","69,772.6","70,359.5","68,305.2","5.95M","-1.89%"
"11/02/2021","69,919.3","68,231.9","70,799.7","68,231.9","6.18M","2.36%"
"11/01/2021","68,305.2","70,286.2","70,726.4","67,938.4","5.30M","-3.02%"
"10/29/2021","70,432.9","69,919.3","70,799.7","69,699.2","5.85M","0.73%"
"10/28/2021","69,919.3","71,166.6","71,313.3","69,699.2","5.63M","-1.85%"
"10/27/2021","71,239.9","70,579.6","71,313.3","69,552.5","5.53M","0.83%"
"10/26/2021","70,653.0","71,606.8","71,753.5","69,552.5","6.46M","-1.73%"
"10/25/2021","71,900.2","72,633.9","73,074.1","71,826.9","5.87M","-1.01%"
"10/22/2021","72,633.9","70,873.1","73,147.5","70,873.1","6.57M","2.38%"
"10/21/2021","70,946.5","70,726.4","71,826.9","70,359.5","6.50M","0.31%"
"10/20/2021","70,726.4","68,452.0","71,900.2","68,378.6","8.57M","3.10%"
"10/19/2021","68,598.7","68,965.5","69,112.3","68,231.9","5.13M","-0.53%"
"10/18/2021","68,965.5","66,911.3","69,699.2","66,764.5","6.68M","2.96%"
"10/15/2021","66,984.6","68,231.9","68,378.6","66,104.2","6.53M","-1.83%"
"10/14/2021","68,231.9","66,324.3","68,231.9","66,250.9","7.03M","2.65%"
"10/13/2021","66,471.0","64,930.3","66,617.8","64,563.5","7.45M","2.37%"
"10/12/2021","64,930.3","65,150.4","65,297.2","64,196.7","5.94M","-0.34%"
"10/11/2021","65,150.4","63,829.8","65,150.4","63,756.4","7.28M","2.07%"
"10/08/2021","63,829.8","62,655.9","63,829.8","62,509.2","5.55M","1.87%"
"10/07/2021","62,655.9","61,848.9","62,949.4","61,628.8","6.79M","1.30%"
"10/06/2021","61,848.9","61,555.4","61,995.6","60,454.9","5.13M","0.36%"
"10/05/2021","61,628.8","62,509.2","62,729.3","61,482.0","4.90M","-1.52%"
"10/04/2021","62,582.6","61,628.8","62,729.3","61,555.4","6.16M","1.55%"
"10/01/2021","61,628.8","59,941.3","61,702.2","59,501.1","6.52M","2.69%"
"09/30/2021","60,014.7","59,501.1","60,014.7","59,134.3","4.16M","0.74%"
"09/29/2021","59,574.5","59,574.5","59,794.6","59,134.3","3.50M","-0.12%"
"09/28/2021","59,647.9","58,840.8","59,721.2","58,767.4","5.54M","1.25%"
"09/27/2021","58,914.2","58,914.2","59,794.6","58,767.4","4.33M","0.00%"
"09/24/2021","58,914.2","59,134.3","59,427.8","58,694.1","3.84M","-0.37%"
"09/23/2021","59,134.3","59,354.4","59,868.0","58,914.2","3.71M","-0.49%"
"09/22/2021","59,427.8","59,794.6","59,941.3","58,987.6","3.75M","-0.74%"
"09/21/2021","59,868.0","60,528.3","60,528.3","58,840.8","4.57M","-1.57%"
"09/20/2021","60,821.7","58,767.4","61,188.6","58,694.1","6.92M","3.62%"
"09/17/2021","58,694.1","59,941.3","60,088.1","58,694.1","6.48M","-2.20%"
"09/16/2021","60,014.7","59,794.6","60,308.2","59,427.8","3.79M","0.12%"
"09/15/2021","59,941.3","58,987.6","60,161.4","58,914.2","3.95M","1.49%"
"09/14/2021","59,060.9","58,987.6","59,868.0","58,694.1","3.93M","0.00%"
"09/13/2021","59,060.9","60,308.2","60,968.5","59,060.9","4.56M","-2.19%"
"09/10/2021","60,381.5","60,381.5","61,482.0","60,088.1","4.12M","-0.12%"
"09/09/2021","60,454.9","61,628.8","61,775.5","60,088.1","4.01M","-2.14%"
